公司代码	公司简称	A股代码	A股简称	A股上市日期	B股代码	B股 简 称	B股上市日期	城 市
000603	威达医械	603	*ST 威达	1996-8-23	　	　	　	重庆市
000605	四环药业	605	ST 四 环	1996-9-13	　	　	　	北京市
000606	青海明胶	606	青海明胶	1996-10-4	　	　	　	西宁市
000607	华立药业	607	华立药业	1996-8-30	　	　	　	重庆市
000608	阳光股份	608	阳光股份	1996-9-19	　	　	　	南宁市
000609	绵世股份	609	绵世股份	1996-10-10	　	　	　	北京市
000610	西安旅游	610	西安旅游	1996-9-26	　	　	　	西安市
000611	时代科技	611	时代科技	1996-10-8	　	　	　	呼和浩特市
000612	焦作万方	612	焦作万方	1996-9-26	　	　	　	焦作市
000613	大 东 海	613	ST东海Ａ	1997-1-28	200613	ST东海Ｂ	1996-10-8	三亚市
000615	湖北金环	615	湖北金环	1996-10-16	　	　	　	襄樊市
000616	亿城股份	616	亿城股份	1996-11-8	　	　	　	大连市
000617	石油济柴	617	石油济柴	1996-10-22	　	　	　	济南市
000619	海螺型材	619	海螺型材	1996-10-23	　	　	　	芜湖市
000620	圣方科技	620	S*ST圣方	1996-10-29	　	　	　	牡丹江市
000622	岳阳恒立	622	S*ST恒立	1996-11-7	　	　	　	岳阳市
000623	吉林敖东	623	吉林敖东	1996-10-28	　	　	　	延边朝鲜族自治州
000625	长安汽车	625	长安汽车	1997-6-10	200625	长 安Ｂ	1996-11-8	重庆市
000626	如意集团	626	如意集团	1996-11-28	　	　	　	连云港市
000627	天茂集团	627	天茂集团	1996-11-12	　	　	　	荆门市
000628	高新发展	628	高新发展	1996-11-18	　	　	　	成都市
000629	攀钢钢钒	629	攀钢钢钒	1996-11-15	　	　	　	攀枝花市
000630	铜陵有色	630	铜陵有色	1996-11-20	　	　	　	铜陵市
000631	顺发恒业	631	顺发恒业	1996-11-22	　	　	　	长春市
000632	三木集团	632	三木集团	1996-11-21	　	　	　	福州市
000633	合金投资	633	ST合金	1996-11-12	　	　	　	沈阳市
000635	英力特	635	英 力 特	1996-11-20	　	　	　	石嘴山市
000636	风华高科	636	风华高科	1996-11-29	　	　	　	肇庆市
000637	茂化实华	637	茂化实华	1996-11-14	　	　	　	茂名市
000638	万方地产	638	万方地产	1996-11-26	　	　	　	沈阳市
000639	金德发展	639	金德发展	1996-11-26	　	　	　	株洲市
000650	仁和药业	650	仁和药业	1996-12-10	　	　	　	九江市
000651	格力电器	651	格力电器	1996-11-18	　	　	　	珠海市
000652	泰达股份	652	泰达股份	1996-11-28	　	　	　	天津市
000655	金岭矿业	655	金岭矿业	1996-11-28	　	　	　	淄博市
000656	重庆东源	656	ST 东 源	1996-11-28	　	　	　	重庆市
000657	中钨高新	657	*ST 中钨	1996-12-5	　	　	　	海口市
000659	珠海中富	659	珠海中富	1996-12-3	　	　	　	珠海市
000661	长春高新	661	长春高新	1996-12-18	　	　	　	长春市
000662	索 芙 特	662	索 芙 特	1996-12-16	　	　	　	梧州市
000663	永安林业	663	永安林业	1996-12-6	　	　	　	三明市
000665	武汉塑料	665	武汉塑料	1996-12-10	　	　	　	武汉市
000666	经纬纺机	666	经纬纺机	1996-12-10	　	　	　	北京市
000667	名流置业	667	名流置业	1996-12-5	　	　	　	昆明市
000668	荣丰控股	668	荣丰控股	1996-12-10	　	　	　	上海市
000669	领先科技	669	领先科技	1996-12-10	　	　	　	吉林市
000670	舜元地产	670	S*ST天发	1996-12-17	　	　	　	荆州市
000671	阳光城	671	阳 光 城	1996-12-18	　	　	　	福州市
000672	铜城集团	672	*ST 铜城	1996-12-18	　	　	　	白银市
000673	大同水泥	673	ST 大 水	1997-1-24	　	　	　	大同市
000676	思达高科	676	思达高科	1996-12-24	　	　	　	郑州市
000677	山东海龙	677	山东海龙	1996-12-26	　	　	　	潍坊市
000678	襄阳轴承	678	襄阳轴承	1997-1-6	　	　	　	襄樊市
000679	大连友谊	679	大连友谊	1997-1-24	　	　	　	大连市
000680	山推股份	680	山推股份	1997-1-22	　	　	　	济宁市
000681	远东股份	681	*ST 远东	1997-1-21	　	　	　	常州市
000682	东方电子	682	东方电子	1997-1-21	　	　	　	烟台市
000683	远兴能源	683	远兴能源	1997-1-31	　	　	　	鄂尔多斯市
000685	中山公用	685	中山公用	1997-1-23	　	　	　	中山市
000686	东北证券	686	东北证券	1997-2-27	　	　	　	长春市
000687	保定天鹅	687	保定天鹅	1997-2-21	　	　	　	保定市
000688	朝华科技	688	S*ST朝华	1997-1-20	　	　	　	重庆市
000690	宝新能源	690	宝新能源	1997-1-28	　	　	　	梅州市
000691	海南联合	691	*ST联油	1997-2-28	　	　	　	海口市
000692	惠天热电	692	ST 惠 天	1997-2-27	　	　	　	沈阳市
000693	聚友网络	693	S*ST聚友	1997-2-26	　	　	　	成都市
000695	滨海能源	695	滨海能源	1997-2-18	　	　	　	天津市
000697	咸阳偏转	697	*ST 偏转	1997-3-25	　	　	　	咸阳市
000698	沈阳化工	698	沈阳化工	1997-2-20	　	　	　	沈阳市
000700	模塑科技	700	模塑科技	1997-2-28	　	　	　	无锡市
000701	厦门信达	701	厦门信达	1997-2-26	　	　	　	厦门市
000702	正虹科技	702	正虹科技	1997-3-18	　	　	　	岳阳市
000703	世纪光华	703	世纪光华	1997-3-28	　	　	　	北海市
000705	浙江震元	705	浙江震元	1997-4-10	　	　	　	绍兴市
000706	瓦 轴	　	　	　	200706	瓦 轴Ｂ	1997-3-25	大连市
000707	双环科技	707	双环科技	1997-4-15	　	　	　	孝感市
000708	大冶特钢	708	大冶特钢	1997-3-26	　	　	　	黄石市
000709	河北钢铁	709	河北钢铁	1997-4-16	　	　	　	石家庄市
000710	天兴仪表	710	天兴仪表	1997-4-22	　	　	　	成都市
000711	天伦置业	711	天伦置业	1997-4-11	　	　	　	哈尔滨市
000712	锦龙股份	712	锦龙股份	1997-4-15	　	　	　	东莞市
000713	丰乐种业	713	丰乐种业	1997-4-22	　	　	　	合肥市
000715	中兴商业	715	中兴商业	1997-5-8	　	　	　	沈阳市
000716	南方食品	716	ST 南 方	1997-4-18	　	　	　	南宁市
000717	韶钢松山	717	韶钢松山	1997-5-8	　	　	　	韶关市
000718	苏宁环球	718	苏宁环球	1997-4-8	　	　	　	吉林市
000719	焦作鑫安	719	S*ST鑫安	1997-3-31	　	　	　	焦作市
000720	新能泰山	720	*ST能山	1997-5-9	　	　	　	泰安市
000721	西安饮食	721	西安饮食	1997-4-30	　	　	　	西安市
000722	金果实业	722	*ST 金果	1997-5-22	　	　	　	衡阳市
000723	美锦能源	723	美锦能源	1997-5-15	　	　	　	太原市
000725	京 东 方	725	京东方Ａ	2001-1-12	200725	京东方Ｂ	1997-6-10	北京市
000726	鲁 泰	726	鲁 泰Ａ	2000-12-25	200726	鲁 泰Ｂ	1997-8-19	淄博市
000727	华东科技	727	华东科技	1997-5-20	　	　	　	南京市
000728	国元证券	728	国元证券	1997-6-16	　	　	　	合肥市
000729	燕京啤酒	729	燕京啤酒	1997-7-16	　	　	　	北京市
000731	四川美丰	731	四川美丰	1997-6-17	　	　	　	遂宁市
000732	福建三农	732	*ST三农	1997-7-4	　	　	　	三明市
000733	振华科技	733	振华科技	1997-7-3	　	　	　	贵阳市
000735	罗 牛 山	735	罗 牛 山	1997-6-11	　	　	　	海口市
000736	重庆实业	736	ST 重 实	1997-4-25	　	　	　	重庆市
000737	南风化工	737	南风化工	1997-4-28	　	　	　	运城市
000738	南方宇航	738	ST 宇 航	1997-6-26	　	　	　	株洲市
000739	普洛股份	739	普洛股份	1997-5-9	　	　	　	青岛市
000748	长城信息	748	长城信息	1997-7-4	　	　	　	长沙市
000750	桂林集琦	750	S*ST集琦	1997-7-9	　	　	　	桂林市
000751	锌业股份	751	*ST锌业	1997-6-26	　	　	　	葫芦岛市
000752	西藏发展	752	西藏发展	1997-6-25	　	　	　	拉萨市
000753	漳州发展	753	漳州发展	1997-6-26	　	　	　	漳州市
000755	山西三维	755	山西三维	1997-6-27	　	　	　	太原市
000756	新华制药	756	新华制药	1997-8-6	　	　	　	淄博市
000757	方向光电	757	*ST 方向	1997-6-27	　	　	　	内江市
000758	中色股份	758	中色股份	1997-4-16	　	　	　	北京市
000759	武汉中百	759	武汉中百	1997-5-19	　	　	　	武汉市
000760	博盈投资	760	博盈投资	1997-6-27	　	　	　	荆州市
000761	本钢板材	761	本钢板材	1998-1-15	200761	本钢板Ｂ	1997-7-8	本溪市
000762	西藏矿业	762	西藏矿业	1997-7-8	　	　	　	拉萨市
000766	通化金马	766	通化金马	1997-4-30	　	　	　	通化市
000767	漳泽电力	767	漳泽电力	1997-6-9	　	　	　	太原市
000768	西飞国际	768	西飞国际	1997-6-26	　	　	　	西安市
000770	武 锅	　	　	　	200770	*ST武锅B	1998-4-15	武汉市
000771	杭 汽 轮	　	　	　	200771	杭汽轮Ｂ	1998-4-28	杭州市
000776	延边公路	776	S 延边路	1997-6-11	　	　	　	延边朝鲜族自治州
000777	中核科技	777	中核科技	1997-7-10	　	　	　	苏州市
000778	新兴铸管	778	新兴铸管	1997-6-6	　	　	　	邯郸市
000779	三毛派神	779	三毛派神	1997-5-28	　	　	　	兰州市
000780	平庄能源	780	平庄能源	1997-6-6	　	　	　	赤峰市
000782	美达股份	782	美达股份	1997-6-19	　	　	　	江门市
000783	长江证券	783	长江证券	1997-7-31	　	　	　	武汉市
000785	武汉中商	785	武汉中商	1997-7-11	　	　	　	武汉市
000786	北新建材	786	北新建材	1997-6-6	　	　	　	北京市
000787	创智科技	787	*ST 创智	1997-6-26	　	　	　	深圳市
000788	西南合成	788	西南合成	1997-6-16	　	　	　	重庆市
000789	江西水泥	789	江西水泥	1997-9-23	　	　	　	南昌市
000790	华神集团	790	华神集团	1998-3-27	　	　	　	成都市
000791	西北化工	791	西北化工	1997-10-14	　	　	　	兰州市
000792	盐湖钾肥	792	盐湖钾肥	1997-9-4	　	　	　	海西蒙古族藏族自治州
000793	华闻传媒	793	华闻传媒	1997-7-29	　	　	　	海口市
000795	太原刚玉	795	太原刚玉	1997-8-8	　	　	　	太原市
000796	宝商集团	796	宝商集团	1997-7-3	　	　	　	宝鸡市
000797	中国武夷	797	中国武夷	1997-7-15	　	　	　	福州市
000798	中水渔业	798	中水渔业	1998-2-12	　	　	　	北京市
000799	湘 酒 鬼	799	酒 鬼 酒	1997-7-18	　	　	　	湘西土家族苗族自治州
000800	一汽轿车	800	一汽轿车	1997-6-18	　	　	　	长春市
000801	四川湖山	801	四川湖山	1998-5-6	　	　	　	绵阳市
000802	北京旅游	802	北京旅游	1998-1-8	　	　	　	北京市
000803	金宇车城	803	金宇车城	1998-3-3	　	　	　	南充市
000805	炎黄物流	805	*ST炎黄	1998-5-29	　	　	　	常州市
